dataset,epochs,validation,learnrate,l2norm,hidden,bases,dropout,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc
aifb,50,False,0.01,0.001,8,4,0.2,0.007048242,1.0,0.007048242,1.0,0.2259096,0.9166666666666666
aifb,50,False,0.01,0.001,8,4,0.5,0.0072884434,1.0,0.0072884434,1.0,0.16130035,0.9722222222222222
aifb,50,False,0.01,0.001,8,4,0.8,0.019190127,1.0,0.019190127,1.0,0.20804894,0.9444444444444444
aifb,50,False,0.01,0.001,8,4,0.9,0.06318031,0.9928571428571429,0.06318031,0.9928571428571429,0.2229654,0.9444444444444444
aifb,50,False,0.01,0.001,8,8,0.2,0.0046832976,1.0,0.0046832976,1.0,0.14899093,0.9722222222222222
aifb,50,False,0.01,0.001,8,8,0.5,0.0029056536,1.0,0.0029056536,1.0,0.18196052,0.9444444444444444
aifb,50,False,0.01,0.001,8,8,0.8,0.020690557,0.9928571428571429,0.020690557,0.9928571428571429,0.16166203,0.9722222222222222
aifb,50,False,0.01,0.001,8,8,0.9,0.0404339,0.9857142857142858,0.0404339,0.9857142857142858,0.22293812,0.9722222222222222
aifb,50,False,0.01,0.001,8,16,0.2,0.0026994739,1.0,0.0026994739,1.0,0.20834577,0.9722222222222222
aifb,50,False,0.01,0.001,8,16,0.5,0.001775638,1.0,0.001775638,1.0,0.146472,0.9444444444444444
aifb,50,False,0.01,0.001,8,16,0.8,0.0027450863,1.0,0.0027450863,1.0,0.14704697,0.9722222222222222
aifb,50,False,0.01,0.001,8,16,0.9,0.03303914,1.0,0.03303914,1.0,0.21138473,0.9722222222222222
aifb,50,False,0.01,0.001,8,32,0.2,0.0013437993,1.0,0.0013437993,1.0,0.24828379,0.9166666666666666
aifb,50,False,0.01,0.001,8,32,0.5,0.00080020673,1.0,0.00080020673,1.0,0.14647731,0.9444444444444444
aifb,50,False,0.01,0.001,8,32,0.8,0.011235122,1.0,0.011235122,1.0,0.16053623,0.9722222222222222
