dataset,epochs,validation,learnrate,l2norm,hidden,bases,dropout,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc
aifb,50,False,0.01,0.001,8,4,0.2,0.007721235,1.0,0.007721235,1.0,0.2373442,0.9444444444444444
aifb,50,False,0.01,0.001,8,4,0.5,0.0049991887,1.0,0.0049991887,1.0,0.22708027,0.9166666666666666
aifb,50,False,0.01,0.001,8,4,0.8,0.011731968,1.0,0.011731968,1.0,0.18435818,0.9722222222222222
aifb,50,False,0.01,0.001,8,4,0.9,0.05207683,0.9928571428571429,0.05207683,0.9928571428571429,0.2601635,0.9722222222222222
aifb,50,False,0.01,0.001,8,8,0.2,0.002791753,1.0,0.002791753,1.0,0.2538321,0.9166666666666666
aifb,50,False,0.01,0.001,8,8,0.5,0.0014683214,1.0,0.0014683214,1.0,0.17832044,0.9444444444444444
aifb,50,False,0.01,0.001,8,8,0.8,0.009966601,1.0,0.009966601,1.0,0.16545382,0.9722222222222222
aifb,50,False,0.01,0.001,8,8,0.9,0.024940971,1.0,0.024940971,1.0,0.21313086,0.9166666666666666
aifb,50,False,0.01,0.001,8,16,0.2,0.0022692708,1.0,0.0022692708,1.0,0.20604551,0.9166666666666666
aifb,50,False,0.01,0.001,8,16,0.5,0.0012991541,1.0,0.0012991541,1.0,0.2101027,0.8888888888888888
aifb,50,False,0.01,0.001,8,16,0.8,0.0032656253,1.0,0.0032656253,1.0,0.21469438,0.9166666666666666
aifb,50,False,0.01,0.001,8,16,0.9,0.037244137,0.9857142857142858,0.037244137,0.9857142857142858,0.29376566,0.9166666666666666
aifb,50,False,0.01,0.001,8,32,0.2,0.0014898749,1.0,0.0014898749,1.0,0.27568296,0.9166666666666666
aifb,50,False,0.01,0.001,8,32,0.5,0.00061233673,1.0,0.00061233673,1.0,0.17609051,0.9722222222222222
aifb,50,False,0.01,0.001,8,32,0.8,0.007340112,1.0,0.007340112,1.0,0.1849476,0.9722222222222222
aifb,50,False,0.01,0.001,8,32,0.9,0.02104709,0.9928571428571429,0.02104709,0.9928571428571429,0.21888655,0.9444444444444444
aifb,50,False,0.01,0.001,16,4,0.2,0.004678219,1.0,0.004678219,1.0,0.23330085,0.9166666666666666
aifb,50,False,0.01,0.001,16,4,0.5,0.004095743,1.0,0.004095743,1.0,0.1896991,0.9166666666666666
aifb,50,False,0.01,0.001,16,4,0.8,0.002180634,1.0,0.002180634,1.0,0.15950553,0.9722222222222222
aifb,50,False,0.01,0.001,16,4,0.9,0.015247744,1.0,0.015247744,1.0,0.14957234,0.9722222222222222
aifb,50,False,0.01,0.001,16,8,0.2,0.0030918836,1.0,0.0030918836,1.0,0.18080209,0.9722222222222222
aifb,50,False,0.01,0.001,16,8,0.5,0.0018296167,1.0,0.0018296167,1.0,0.2755022,0.8888888888888888
aifb,50,False,0.01,0.001,16,8,0.8,0.0023641188,1.0,0.0023641188,1.0,0.16832858,0.9444444444444444
aifb,50,False,0.01,0.001,16,8,0.9,0.004650298,1.0,0.004650298,1.0,0.17528549,0.9722222222222222
aifb,50,False,0.01,0.001,16,16,0.2,0.002215712,1.0,0.002215712,1.0,0.1938092,0.9444444444444444
aifb,50,False,0.01,0.001,16,16,0.5,0.0014061796,1.0,0.0014061796,1.0,0.19253439,0.9166666666666666
aifb,50,False,0.01,0.001,16,16,0.8,0.00053332344,1.0,0.00053332344,1.0,0.15578951,0.9444444444444444
aifb,50,False,0.01,0.001,16,16,0.9,0.010610168,1.0,0.010610168,1.0,0.17031778,0.9444444444444444
aifb,50,False,0.01,0.001,16,32,0.2,0.0021060274,1.0,0.0021060274,1.0,0.2660737,0.9166666666666666
aifb,50,False,0.01,0.001,16,32,0.5,0.00085025193,1.0,0.00085025193,1.0,0.23342668,0.8888888888888888
aifb,50,False,0.01,0.001,16,32,0.8,0.0007286195,1.0,0.0007286195,1.0,0.18457824,0.9722222222222222
aifb,50,False,0.01,0.001,16,32,0.9,0.010161265,1.0,0.010161265,1.0,0.20596986,0.9444444444444444
aifb,50,False,0.01,0.001,32,4,0.2,0.005073501,1.0,0.005073501,1.0,0.21259752,0.9166666666666666
